File Version,Hardware Type,Model,Data Logger Name,Serial Number,Sample Rate,Total Alarms
1,3,EL-SIE-2+,UM_WG,24de6b085df773dd,600,2,

Channel Number,Channel Name,Channel Type
1,Temperature,1
2,Humidity,2
3,Dew Point,4

Channel Number,Channel Name,Alarm Type,High Threshold,Low Threshold,Delay,Hold
1,Temperature,High Alarm,70.00,,0,0
1,Temperature,Low Alarm,,64.00,0,0

Reading,Date / Time (UTC),Channel 1 (°F),Channel 2 (%RH),Channel 3 (°F),
293,2022/06/12 16:45:36,72.06,35.8,43.50,
294,2022/06/12 16:55:36,72.06,35.8,43.50,
295,2022/06/12 17:05:36,71.99,35.7,43.37,
296,2022/06/12 17:15:36,72.01,35.7,43.38,
297,2022/06/12 17:25:36,71.93,35.8,43.38,
298,2022/06/12 17:35:36,71.96,35.7,43.34,
299,2022/06/12 17:45:36,71.88,35.7,43.27,
300,2022/06/12 17:55:36,71.88,35.7,43.27,
301,2022/06/12 18:05:36,71.83,35.8,43.30,
302,2022/06/12 18:15:36,71.78,35.8,43.25,
303,2022/06/12 18:25:36,71.70,35.8,43.19,
304,2022/06/12 18:35:36,71.70,35.8,43.19,
305,2022/06/12 18:45:36,71.65,35.8,43.14,
306,2022/06/12 18:55:36,71.57,35.9,43.13,
307,2022/06/12 19:05:36,71.50,35.8,42.99,
308,2022/06/12 19:15:36,71.42,35.9,43.00,
309,2022/06/12 19:25:36,71.39,35.8,42.90,
310,2022/06/12 19:35:36,71.35,35.9,42.94,
311,2022/06/12 19:45:36,71.37,35.9,42.96,
312,2022/06/12 19:55:36,71.29,35.9,42.89,
313,2022/06/12 20:05:36,71.22,36.0,42.90,
314,2022/06/12 20:15:36,71.25,36.0,42.93,
315,2022/06/12 20:25:36,71.29,36.0,42.97,
316,2022/06/12 20:35:36,71.29,36.0,42.97,
317,2022/06/12 20:45:36,71.32,35.9,42.91,
318,2022/06/12 20:55:36,71.29,36.0,42.97,
319,2022/06/12 21:05:36,71.39,35.9,42.97,
320,2022/06/12 21:15:36,71.32,35.9,42.91,
321,2022/06/12 21:25:36,71.37,36.0,43.03,
322,2022/06/12 21:35:36,71.35,36.0,43.01,
323,2022/06/12 21:45:36,71.35,36.0,43.01,
324,2022/06/12 21:55:36,71.35,35.9,42.94,
325,2022/06/12 22:05:36,71.27,36.0,42.95,
326,2022/06/12 22:15:36,71.29,35.9,42.89,
327,2022/06/12 22:25:36,71.35,35.9,42.94,
328,2022/06/12 22:35:36,71.27,35.9,42.88,
329,2022/06/12 22:45:36,71.32,35.9,42.91,
330,2022/06/12 22:55:36,71.29,35.9,42.89,
331,2022/06/12 23:05:36,71.19,35.9,42.80,
332,2022/06/12 23:15:36,71.19,35.9,42.80,
333,2022/06/12 23:25:36,71.19,35.9,42.80,
334,2022/06/12 23:35:36,71.12,35.9,42.73,
335,2022/06/12 23:45:36,71.09,35.9,42.72,
336,2022/06/12 23:55:36,71.04,35.9,42.67,
337,2022/06/13 00:05:36,71.04,35.9,42.67,
338,2022/06/13 00:15:36,71.09,35.9,42.72,
339,2022/06/13 00:25:36,71.09,35.8,42.65,
340,2022/06/13 00:35:36,71.09,35.8,42.65,
341,2022/06/13 00:45:36,71.07,35.8,42.63,
342,2022/06/13 00:55:36,71.02,35.8,42.58,
343,2022/06/13 01:05:36,71.09,35.8,42.65,
344,2022/06/13 01:15:36,71.04,35.8,42.60,
345,2022/06/13 01:25:36,71.09,35.8,42.65,
346,2022/06/13 01:35:36,71.09,35.8,42.65,
347,2022/06/13 01:45:36,71.04,35.8,42.60,
348,2022/06/13 01:55:36,70.97,35.8,42.53,
349,2022/06/13 02:05:36,70.94,35.8,42.50,
350,2022/06/13 02:15:36,70.91,35.8,42.48,
351,2022/06/13 02:25:36,70.91,35.8,42.48,
352,2022/06/13 02:35:36,70.87,35.8,42.44,
353,2022/06/13 02:45:36,70.89,35.8,42.47,
354,2022/06/13 02:55:36,70.87,35.9,42.51,
355,2022/06/13 03:05:36,70.87,35.9,42.51,
356,2022/06/13 03:15:36,70.84,35.9,42.49,
357,2022/06/13 03:25:36,70.81,35.9,42.46,
358,2022/06/13 03:35:36,70.73,35.9,42.40,
359,2022/06/13 03:45:36,70.66,35.9,42.34,
